facility_id,no,name,facility_type,tenure_type,entry_requirement,insurance_designation,provider_no,address,phone,capacity,room_type,opened_on,tokurei_from,access,corporate_name,corp_zip,corp_address,notified_on,changed_on,remarks,is_jusho_chi_tokurei,ward,address_detail,capacity_num,source,source_date
1,1,やわら樹の里,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式,入居時自立・要支援・要介護,さいたま市指定介護保険特定(一般型特定施設),1176512182,見沼区 大和田町1-345,048-683-0438,71,全室個室26.78m2~28.50m2,H21.1.1※厚生年金ハートピア大宮としてS41.3.19に開所,H18.4.1,東武野田線大和田駅から徒歩10分,医療法人社団全仁会,3210953,栃木県宇都宮市東宿郷2-1-1,H20.12.22(S41.4.1),,,True,見沼区,大和田町1-345,71.0,さいたま市 有料老人ホーム一覧表,2025-07-01
2,2,ブランシエール大宮公園,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式,入居時自立・要支援・要介護,さいたま市指定介護保険特定(一般型特定施設),1176519377,見沼区 大和田町1-1275,048-686-8088,170,1~2人室18.0~78.42m2,H1.1.27,H18.4.1,東武野田線大和田駅から徒歩5分,株式会社長谷工シニアウェルデザイン,1050014,東京都港区芝2丁目9番10号,R3.9.29(H1.1.27),,,True,見沼区,大和田町1-1275,170.0,さいたま市 有料老人ホーム一覧表,2025-07-01
3,3,ローズ・ヴィラ,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式・建物賃貸借方式,入居時自立・要支援・要介護,さいたま市指定介護保険特定(一般型特定施設),1170700254,岩槻区 増長112,048-799-1151,50,1~4人室12.1~29.7m2,H2.9.1,H18.4.1,東武野田線岩槻駅からタクシー 8分又は武里駅からタクシー5分,有限会社バンビ学園,3390012,さいたま市岩槻区増長112,H12.3.6,,,True,岩槻区,増長112,50.0,さいたま市 有料老人ホーム一覧表,2025-07-01
4,4,ライフコミューン大宮北,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式,入居時自立・要支援・要介護,さいたま市指定介護保険特定(一般型特定施設),1170300410,北区 別所町16-3,048-665-6090,30,全室個室14.04m2~18.24m2,H11.10.1,H18.4.1,JR高崎線宮原駅から上尾車庫行バス「宮原4丁目」下車徒歩 5分又は上尾駅行バス「鈴木」下車徒歩 5分,株式会社木下の介護,1631308,東京都新宿区西新宿6-5-1新宿アイランドタワー29階,H12.3.9,,,True,北区,別所町16-3,30.0,さいたま市 有料老人ホーム一覧表,2025-07-01
5,5,ブランシエール南浦和,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式,入居時自立・要支援・要介護,さいたま市指定介護保険特定(一般型特定施設),1176500237,南区 南本町1-4-12,048-710-8081,105,1~2人室16.89~83.86m2,H13.9.20,H18.4.1,JR南浦和駅から徒歩3分,株式会社長谷工シニアウェルデザイン,1050014,東京都港区芝2丁目9番10号,H13.9.20,,,True,南区,南本町1-4-12,105.0,さいたま市 有料老人ホーム一覧表,2025-07-01
6,6,ブランシエールケア北浦和,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式,入居時自立・要支援・要介護,さいたま市指定介護保険特定(一般型特定施設),1176519393,浦和区 領家6-3-14,048-834-8031,58,全室個室16.2~22.2m2,H15.2.17,H18.4.1,JR北浦和駅から徒歩13分,株式会社長谷工シニアウェルデザイン,1050014,東京都港区芝2丁目9番10号,R3.9.29(H14.8.12),,,True,浦和区,領家6-3-14,58.0,さいたま市 有料老人ホーム一覧表,2025-07-01
7,7,ライフコミューン大宮東,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式,入居時自立・要支援・要介護,さいたま市指定介護保険特定(一般型特定施設),1176501128,大宮区 天沼町2-150-1,048-647-6090,66,全室個室13.69~16.11m2,H14.11.24,H18.4.1,JR大宮駅から東武バス「天沼車庫」下車徒歩2分,株式会社木下の介護,1631308,東京都新宿区西新宿6-5-1新宿アイランドタワー29階,H14.11.22,,,True,大宮区,天沼町2-150-1,66.0,さいたま市 有料老人ホーム一覧表,2025-07-01
8,8,ライフコミューン南与野,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式,入居時自立・要支援・要介護,さいたま市指定介護保険特定(一般型特定施設),1176502019,中央区 鈴谷二丁目1234-5,048-851-6490,66,全室個室18.24m2,H15.8.26,H18.4.1,JR埼京線南与野駅から徒歩3分,株式会社木下の介護,1631308,東京都新宿区西新宿6-5-1新宿アイランドタワー29階,H15.8.8,,,True,中央区,鈴谷二丁目1234-5,66.0,さいたま市 有料老人ホーム一覧表,2025-07-01
9,9,ソラスト大宮,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式,入居時自立・要支援・要介護,さいたま市指定介護保険特定(一般型特定施設),1176518528,北区 宮原町1-46-1,048-660-5431,58,全室個室18.20~21.20m2,H15.11.1,H18.4.1,埼玉新都市交通伊奈線加茂宮駅から徒歩3分,株式会社ソラスト,1088210,東京都港区港南2-15-3 品川インターシティC棟12階,R2.11.27(H15.9.8),,,True,北区,宮原町1-46-1,58.0,さいたま市 有料老人ホーム一覧表,2025-07-01
10,10,ブランシエール浦和2,住宅型有料老人ホーム,利用権方式,入居時自立,在宅サービス利用可,,南区 鹿手袋5-3-5,048-862-8588,39,1~2人室29.86~61.20m2,H6.11.8,H18.4.1,JR埼京線武蔵浦和駅から徒歩6分,株式会社長谷工シニアウェルデザイン,1050014,東京都港区芝2丁目9番10号,H15.9.19,,,True,南区,鹿手袋5-3-5,39.0,さいたま市 有料老人ホーム一覧表,2025-07-01
11,11,ベストライフ大宮,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式,入居時自立・要支援・要介護,さいたま市指定介護保険特定(一般型特定施設),1176518346,大宮区 上小町1151-1,048-657-9115,76,1~2人室14.93~31.07m2,H15.7.1,H18.4.1,JR大宮駅から徒歩15分,株式会社ベストライフ埼玉,3330811,埼玉県川口市戸塚3丁目3番10号,R2.8.27(H15.12.2),,,True,大宮区,上小町1151-1,76.0,さいたま市 有料老人ホーム一覧表,2025-07-01
12,12,サニーライフ埼玉,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式,入居時自立・要支援・要介護,さいたま市指定介護保険特定(一般型特定施設),1176502498,北区 宮原町2-124-7,048-666-3600,105,1~2人室10.08~20.62m2,H16.1.1,H18.4.1,埼玉新都市交通伊奈線東宮原駅から徒歩3分,株式会社川島コーポレーション,2921161,千葉県君津市東猪原248番地2,H15.12.24,,,True,北区,宮原町2-124-7,105.0,さいたま市 有料老人ホーム一覧表,2025-07-01
13,13,ベストライフ南浦和,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式,入居時自立・要支援・要介護,さいたま市指定介護保険特定(一般型特定施設),1176518338,南区 南浦和2-10-3,048-813-6980,93,1~2人室14.4~28.8m2,H14.3.1,H18.4.1,JR南浦和駅下車徒歩8分,株式会社ベストライフ埼玉,3330811,埼玉県川口市戸塚3丁目3番10号,R2.8.27(H16.11.9),,,True,南区,南浦和2-10-3,93.0,さいたま市 有料老人ホーム一覧表,2025-07-01
14,14,サニーライフ北与野,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式,入居時自立・要支援・要介護,さいたま市指定介護保険特定(一般型特定施設),1176502571,中央区 上落合2-9-11,048-853-2700,62,全室個室12.44~12.84m2,H16.2.1,H18.4.1,JR埼京線北与野駅下車300m徒歩4分,株式会社川島コーポレーション,2921161,千葉県君津市東猪原248番地2,H16.1.16,,,True,中央区,上落合2-9-11,62.0,さいたま市 有料老人ホーム一覧表,2025-07-01
15,15,サニーライフ大宮,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式,入居時自立・要支援・要介護,さいたま市指定介護保険特定(一般型特定施設),1176502944,大宮区 三橋1-507-2,048-669-3600,86,1~2人室13.85~32.37m2,H16.2.1,H18.4.1,JR大宮駅から西武バス「三橋1丁目」下車徒歩5分,株式会社川島コーポレーション,2921161,千葉県君津市東猪原248番地2,H16.2.3,,,True,大宮区,三橋1-507-2,86.0,さいたま市 有料老人ホーム一覧表,2025-07-01
16,16,メディカルホームまどか武蔵浦和,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式・建物賃貸借方式,入居時自立・要支援・要介護,さいたま市指定介護保険特定(一般型特定施設),1176502795,南区 四谷3-13-20,048-710-7001,54,全室個室18.0m2,H16.5.3,H18.4.1,JR武蔵浦和駅から徒歩15分,株式会社ベネッセスタイルケア,1600023,東京都新宿区西新宿二丁目3番1号新宿モノリスビル,H16.4.9,,,True,南区,四谷3-13-20,54.0,さいたま市 有料老人ホーム一覧表,2025-07-01
17,17,SOMPOケアラヴィーレ大宮,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式,入居時要介護,さいたま市指定介護保険特定(一般型特定施設),1176516753,見沼区 中川1090-1,048-684-1122,71,全室個室18.43~22.63m2,H16.6.1,H18.4.1,JR大宮駅からバス「中川坂上」下車,SOMPOケア株式会社,1400002,東京都品川区東品川4-12-8,H30.6.27(H15.10.30),,,True,見沼区,中川1090-1,71.0,さいたま市 有料老人ホーム一覧表,2025-07-01
18,18,スマイリングホームメディス武蔵浦和,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式,入居時要介護,さいたま市指定介護保険特定(一般型特定施設),1176511507,南区 鹿手袋5-5-6,048-865-6911,44,全室個室15.91m2,H16.7.1,H18.4.1,JR武蔵浦和駅から400m徒歩5分,グリーンライフ株式会社,5650853,大阪府吹田市春日三丁目20番8号,R6.11.27(H16.6.7),,,True,南区,鹿手袋5-5-6,44.0,さいたま市 有料老人ホーム一覧表,2025-07-01
19,19,ベストライフ与野,介護付有料老人ホーム(一般型特定施設入居者生活介護),利用権方式,入居時自立・要支援・要介護,さいたま市指定介護保険特定(一般型特定施設),1176518361,中央区 上落合8-10-13,048-851-6767,66,全室個室13.33~24.20m2,H16.8.1,H18.4.1,JR大宮駅から徒歩13分,株式会社ベストライフ埼玉,3330811,埼玉県川口市戸塚3丁目3番10号,R2.8.27(H16.6.15),,,True,中央区,上落合8-10-13,66.0,さいたま市 有料老人ホーム一覧表,2025-07-01
20,20,リハビリホームまどか中浦和,介護付有料老人ホーム(一般型特定施設入居者生活介護),建物賃貸借方式,入居時自立・要支援・要介護,さいたま市指定介護保険特定(一般型特定施設),1176503132,桜区 西堀1-18-26,048-710-1165,54,全室個室18.10m2,H16.7.24,H18.4.1,JR埼京線中浦和駅から徒歩3分,株式会社ベネッセスタイルケア,1600023,東京都新宿区西新宿二丁目3番1号新宿モノリスビル,H16.6.15,,,True,桜区,西堀1-18-26,54.0,さいたま市 有料老人ホーム一覧表,2025-07-01
